4-2-2003 14:16:14 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
4-2-2003 14:18:13 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
4-2-2003 14:18:52 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
4-2-2003 14:30:7 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2.9 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:30:18 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2.9 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:30:28 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2.9 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:34:35 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:40:25 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:40:36 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:41:5 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:41:30 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
4-2-2003 14:41:57 | 143.107.231.101 | 143.107.231.101 | /coweb/edit.php | 2 : 59.2 | Mozilla/5.0 (compatible; Konqueror/3; Linux)
5-2-2003 8:33:0 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/create.php | 2 : 77.2 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:37:35 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/create.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:40:30 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:41:40 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:42:11 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:43:1 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:43:17 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:43:45 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 8:44:1 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.3 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:34:51 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:38:49 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:39:15 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:43:3 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:45:38 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 10:46:5 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.4 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:1:25 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:2:1 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:2:15 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:2:39 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:9:22 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:11:44 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:11:58 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:12:32 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 77.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
5-2-2003 11:43:31 | 143.107.183.232 | 143.107.183.232 | /coweb/create.php | 2 : 67 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; (R1 1.1))
5-2-2003 15:30:59 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 15:31:8 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:28:55 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:29:28 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:44:6 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 2 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
